,Aciklamalar,Yilin gunu,Yilin haftasi,Tarih,2015,2016,2017,2018,2019,2020,Son Guncelleme
1,İçerik,1,1,01.01.2020,206,203,286,208,262,228,19 09 2020  00:00
,"Bu doküman, İstanbul Büyükşehir Belediyesi (İBB) tarafından yayınlanan günlük vefat verilerini içermektedir. ",2,1,02.01.2020,200,213,296,243,237,210,19 09 2020  00:00
2,Kapsam,3,1,03.01.2020,195,245,273,215,235,262,19 09 2020  00:00
,Veri seti 2015-2020 yılları arasını kapsamaktadır. ,4,1,04.01.2020,203,245,278,231,246,257,19 09 2020  00:00
3,Kaynak,5,1,05.01.2020,204,218,273,226,258,245,19 09 2020  00:00
,Veriler turkiye.gov.tr üzerinden elde edilmektedir. Veri kaynağı kamuya açıktır. ,6,1,06.01.2020,209,218,277,221,276,264,19 09 2020  00:00
,Erişim: www.turkiye.gov.tr/istanbul-buyuksehir-belediyesi-vefat-sorgulama,7,1,07.01.2020,231,253,269,208,282,234,19 09 2020  00:00
4,Yöntem,8,2,08.01.2020,231,223,274,205,285,260,19 09 2020  00:00
,"Veri setindeki herbir güne ait değerler, turkiye.gov.tr üzerinden manuel sorgulama ile elde edilmektedir. ",9,2,09.01.2020,200,249,294,218,295,245,19 09 2020  00:00
,"Veri setindeki sayılar, İBB'den kaynaklı olarak geçmişe yönelik artmaktadır. ",10,2,10.01.2020,192,231,299,235,268,253,19 09 2020  00:00
,"Geçmişe yönelik veri artışları aralıklı olarak manuel kontrol edilmekte, her bir değerin son kontrol tarihi ve saati ""Son güncelleme"" sütununda sunulmaktadır. ",11,2,11.01.2020,243,255,295,229,269,284,19 09 2020  00:00
,2016 ve 2020 yıllarındaki 29 Şubat tarihli veriler analizlerde tarih kayması oluşmaması için kapsama alınmamıştır. ,12,2,12.01.2020,217,236,266,227,272,227,19 09 2020  00:00
5,Kullanım Hakları ve Lisans,13,2,13.01.2020,188,246,282,203,236,238,19 09 2020  00:00
,Bu doküman sarkac.org & turcovid19.com işbirliği ile hazırlanmıştır. ,14,2,14.01.2020,214,238,247,200,303,272,19 09 2020  00:00
,Bu doküman CC BY-NC-ND 4.0 lisansı ile lisanslanmıştır. ,15,3,15.01.2020,210,229,254,217,269,258,19 09 2020  00:00
6,Hazırlayanlar,16,3,16.01.2020,222,233,263,224,306,259,19 09 2020  00:00
,Veri Girişi & Tekrar Kontrolü: Yaprak Özışık,17,3,17.01.2020,189,261,282,252,279,276,19 09 2020  00:00
,Veri Girişi & Tekrar Kontrolü: Defne Üçer Şaylan,18,3,18.01.2020,200,266,275,239,273,266,19 09 2020  00:00
,Otomasyon: turcovid19.com,19,3,19.01.2020,212,226,258,247,286,246,19 09 2020  00:00
7,Sorumluluk Reddi,20,3,20.01.2020,187,247,262,221,265,253,19 09 2020  00:00
,Veri setindeki olası hataların / eksikliklerin kontrol sorumluluğu kullanıcılara aittir.,21,3,21.01.2020,207,234,230,243,284,270,19 09 2020  00:00
,sarkac.org ve turcovid19.com veri setinin kullanımından kaynaklanabilecek her türlü maddi ve manevi zararların sorumluluğunu reddeler.,22,4,22.01.2020,169,235,257,237,262,245,19 09 2020  00:00
8,Sunuş,23,4,23.01.2020,205,229,268,237,260,271,19 09 2020  00:00
,Ülkemizdeki pandemi mücadelesine katkı sunması dileklerimizle. ,24,4,24.01.2020,220,245,261,227,294,244,19 09 2020  00:00
,,25,4,25.01.2020,208,281,270,225,290,264,19 09 2020  00:00
,,26,4,26.01.2020,194,256,267,229,288,258,19 09 2020  00:00
,,27,4,27.01.2020,199,288,248,245,278,273,19 09 2020  00:00
,,28,4,28.01.2020,215,284,229,233,282,269,19 09 2020  00:00
,,29,5,29.01.2020,189,248,224,241,280,249,19 09 2020  00:00
,,30,5,30.01.2020,222,238,215,202,273,226,19 09 2020  00:00
,,31,5,31.01.2020,222,233,244,220,277,259,19 09 2020  00:00
,,32,5,01.02.2020,215,272,211,248,255,222,19 09 2020  00:00
,,33,5,02.02.2020,216,230,236,235,247,243,19 09 2020  00:00
,,34,5,03.02.2020,183,250,212,241,253,243,19 09 2020  00:00
,,35,5,04.02.2020,196,284,249,231,278,229,19 09 2020  00:00
,,36,6,05.02.2020,190,253,227,229,239,248,19 09 2020  00:00
,,37,6,06.02.2020,188,215,214,211,245,220,19 09 2020  00:00
,,38,6,07.02.2020,206,223,246,229,285,230,19 09 2020  00:00
,,39,6,08.02.2020,212,246,255,215,231,228,19 09 2020  00:00
,,40,6,09.02.2020,241,230,224,235,244,205,19 09 2020  00:00
